ID,Severity,Category,Issue,Phase,Required Action,Status
BUG-131,Medium,Medium cross-cutting,"`ArtifactEnvelopeV1.reason_codes` is sorted and deduped in multiple mutation methods. Sorting strings is O(N log N) in the number of reason codes. For envelopes that go through many transitions, this becomes expensive relative to a HashSet approach.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-132,Medium,Medium cross-cutting,"`non_authoritative_json_display_digest` is called in `ArtifactManifestV1::new` but the function name implies it's not canonical. If two manifests are created with the same inputs/outputs but the JSON serialization order differs (e.g., due to HashMap iteration order), the digest will differ. The function uses `serde_json::json!({...})` which serializes objects in field-declaration order — this is deterministic for static structs but not for `BTreeMap` values (which serialize in sorted key order). Since `schema_identities: BTreeMap<String, String>` is sorted, the manifest digest IS deterministic for the same logical content.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-133,Medium,Medium cross-cutting,`EffectRuntimeViewV1` and other view types in `knowledge-runtime/src/views.rs` are listed in the re-exports but not audited — they may contain similar issues.,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-134,Medium,Medium cross-cutting,"`EntityRegistry` uses an in-memory store with no persistence. All entity registrations are lost on process restart. This is documented in the module, but callers that rely on entity resolution across restarts will silently get no results.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-135,Medium,Medium cross-cutting,"`query/route.rs` (not fully audited) creates `RouteLeg` structures. If the route planner creates legs for unsupported `QueryMode` variants (via future extension), the runtime's leg executor may panic or produce empty results with no error.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-136,Medium,Medium cross-cutting,"The codex archive (`MIGRATION_V10` via deprecated module) references `projection_import::MIGRATION_V10`. If the deprecated module is compiled out in a future release before the migration constant is moved, existing databases at schema V10 will fail to migrate to V11+ because the migration runner can't find V10's SQL.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-137,Medium,Medium cross-cutting,"`projection_import_failures` table (referenced in V16 migration) may not exist on databases that were created after `projection_import` was deprecated. The `add_column_if_missing` call in V16 references this table but if the table itself doesn't exist, the `ALTER TABLE` fails.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-138,Medium,Medium cross-cutting,"`read_me` for `pool.rs`: `ReaderGuard` drops the reader slot on panic, but if `self.readers[reader_idx].lock()` panics (which shouldn't happen for `Mutex::lock` but could for a poisoned mutex with `unwrap`), the guard would already be constructed (slot taken) but the lock acquisition fails. Since `lock()` uses `unwrap_or_else`, it recovers and returns the poisoned conn — so this is handled.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-139,Medium,Medium cross-cutting,"The `living-memory` `patch/apply.rs` delegates entirely to `typed_patch::apply_patch` with no pre- or post-validation in the AiDENs layer. If `typed_patch` has bugs, there's no AiDENs-level safety net.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-140,Medium,Medium cross-cutting,"`living-memory` `baseline.rs` runs multiple `git` subcommands sequentially (commit SHA, dirty check, untracked count, lockfile hash, rustc version, cargo version, submodule state). If any command hangs (e.g., `git` is waiting for user input on a locked repo), the `capture_baseline_provenance` function will hang indefinitely since there's no timeout on `Command::output()`.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-141,Medium,Medium cross-cutting,"`BaselineDescriptor.submodule_state: Vec<(String, String)>` — the serialization of this field via `serde_json::to_string(self)` in `fingerprint()` produces array-of-array format. If the submodule state is empty vs. not-present, the fingerprint differs. Two descriptors with identical states but one using `Vec::new()` vs. the other never setting the field would produce different fingerprints if the serde `#[serde(default)]` is not applied.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-142,Medium,Medium cross-cutting,"`WorkspacePolicy.retain_failed_workspaces: bool` has no mechanism to purge old failed workspaces if retention fills up disk. The `max_retained_workspaces` limit applies to total workspaces, not just successful ones — so failed workspace retention may crowd out successful ones.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-143,Medium,Medium cross-cutting,"`MemoryStore::query_claim_versions` accepts a `ProjectionQuery` struct (not shown in audit) which likely has filter fields. If the query struct allows SQL injection via unvalidated user input (e.g., in `scope_namespace` field passed directly to SQLite), this is a security vulnerability.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-144,Medium,Medium cross-cutting,`MemoryStore::embed_batch` converts `&[&str]` to `Vec<String>` unnecessarily:,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-145,Medium,Medium cross-cutting,"`ArtifactEnvelopeV1::from_json` calls `Utc::now()` at construction time. If two envelopes are created in the same millisecond, they get the same `created_recorded_time`. The `material` used for `artifact_ref` generation includes the content digest but NOT the timestamp — so two envelopes with different content but the same digest would produce the same `artifact_ref`. (Content digest equality implies same content, so same `artifact_ref` is correct — but if `DisplayDigestV1::for_json_value` has a collision, this silently produces colliding IDs.)",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-146,Medium,Medium cross-cutting,"`display_digest_v1` (`DisplayDigestV1::for_json_value`) is referenced but not shown. If it uses non-canonical JSON serialization (e.g., object key ordering not guaranteed), two logically identical JSON values could produce different digests.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-147,Medium,Medium cross-cutting,`ExecutionContextEnvelopeV1.budget_millis_allocated` is always set to `0` in `local_started`:,Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-148,Medium,Medium cross-cutting,"`ToolCallReceiptV1.receipt_id` is generated from `(execution_id, tool_id, input_digest, output_digest)`. If the same tool is called twice with the same input and output (e.g., an idempotent tool), the receipts will have identical `receipt_id`s. This prevents distinguishing two separate calls to the same tool with the same result.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-149,Medium,Medium cross-cutting,"`ExecutionContextEnvelopeV1.retry_family_id` is generated from `format!(""retry|{}|{}"", operation_id, attempt_family_id.0)`. This makes the retry family deterministic per (operation, attempt), which is correct. But if `attempt_family_id` is itself generated from material that changes each call, retry families won't be stable across crashes and replays.",Phase 11,Fix or quarantine with evidence and tests,superseded
BUG-150,Medium,Medium cross-cutting,`MemoryStore::reembed_all` does not HNSW-queue pending ops for facts and chunks during the UPDATE loop — only for episodes. Looking at the UPDATE SQL for facts:,Phase 08,Fix or quarantine with evidence and tests,superseded
BUG-151,Low,Low/code quality,"`define_id!` macro marks `pub struct $name(pub String)` — the inner `String` field is `pub`. This breaks the ""opaque ID"" guarantee — callers can directly access and mutate `.0` without using the provided API.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-152,Low,Low/code quality,`ClaimFamilyId` and `AssertionGroupId` have nearly identical doc comments that differ only by one word. Copy-paste doc drift risk.,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-153,Low,Low/code quality,"`stack-ids/src/status.rs` and `stack-ids/src/trace.rs` appear to be concatenated into a single read (the `cat` command showed `TraceCtx` and `SurfaceStatus` in one output). If this is intentional (combined file), the module structure is confusing. If unintentional (cat output concatenated two separate files), the crate structure may be misleading.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-154,Low,Low/code quality,"`MemoryConfig` has `#[serde(skip)]` on `token_counter` and `hnsw`, meaning these fields are not serialized. If a user serializes and deserializes a `MemoryConfig`, they lose their custom token counter and HNSW config — getting defaults instead. This is a silent data loss on round-trip.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-155,Low,Low/code quality,"`MemoryConfig::normalize_and_validate` caps `embedding.timeout_secs` to `limits.embedding_timeout.as_secs().max(1)` — the `max(1)` ensures at least 1 second. But if `limits.embedding_timeout` is exactly 0 (which is normalized to 1 second in `MemoryLimits::normalize_and_validate`), the cap applies correctly. However, if `open_with_embedder` is called twice (with re-validation), the timeout may be double-clamped.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-156,Low,Low/code quality,"`PoolConfig.enable_wal = true` default, but `configure_connection` will fail if the DB is on a networked filesystem that doesn't support WAL mode (e.g., NFS). The error message says ""SQLite journal mode mismatch"" which doesn't tell users they need to disable WAL for networked storage.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-157,Low,Low/code quality,"`MemoryStats::total_episodes` is missing from the stats struct. The `stats()` function queries facts, documents, chunks, sessions, and messages but not episodes. An operator monitoring the system has no way to see episode counts via the stats API.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-158,Low,Low/code quality,`graph_view()` returns `Arc<dyn GraphView>`. The `GraphView` trait is defined in `types.rs` (implied). Returning `Arc<dyn GraphView>` prevents callers from using the concrete type's methods directly (if any exist beyond the trait). This is idiomatic but means concrete functionality added to `StoreGraphView` later is inaccessible without downcasting.,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-159,Low,Low/code quality,"`collect_neighbors` returns edges sorted by `(source, target, weight)` — not by relevance or distance. Callers expecting nearest-first ordering will be surprised.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-160,Low,Low/code quality,"`shortest_path` returns `Vec<String>` of node IDs. If the path includes intermediate nodes that are not directly accessible to the caller (e.g., internal chunk IDs), the path is unreachable in the caller's domain.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-161,Low,Low/code quality,"`cause_backlinks` (called in `direct_edges`) is not shown in the audit. If it queries `episode_causes` but the table was not created (on fresh DBs that skipped V9 migration), it would fail with a ""no such table"" error.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-162,Low,Low/code quality,`TemporalClaim::confidence: f32` is not validated. A confidence of 2.0 or -0.5 can be stored and retrieved without error.,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-163,Low,Low/code quality,"`check_contradiction` formats the description as `""overlapping claims on entity {}: {:?} vs {:?}""` using `Debug` format for the claims. `{:?}` for strings includes surrounding quotes and escapes internal special chars. For log output this is fine; for user-facing explanations it produces ugly output.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-164,Low,Low/code quality,"`QueryMode::Mixed` components are `Vec<QueryMode>` — an unbounded Vec. A maliciously crafted query processor could produce deeply nested Mixed modes, exhausting stack depth during recursive processing.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-165,Low,Low/code quality,"`ClassifyResult::confidence` is set to `0.8` for SemanticLookup, `0.7` for single signal, and `0.6` for Mixed. These are hardcoded magic numbers with no justification or calibration.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-166,Low,Low/code quality,"`MergePolicy::limit: 10` default is not related to `SearchConfig::default_top_k: 5`. If knowledge-runtime uses the merge policy's limit without consulting the search config's default_top_k, the final result count differs from what the user configured.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-167,Low,Low/code quality,"`LegResult::leg_index: usize` — if more than `usize::MAX` legs are created (impossible in practice but architecturally unconstrained), overflow. Not a real bug but the type should probably be `u8` or `u16` to communicate the expected scale.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-168,Low,Low/code quality,`FusedEntry::source_legs: Vec<usize>` uses `contains()` check (`if !entry.source_legs.contains(&lr.leg_index)`) — O(N) per insert for N legs. For large numbers of legs this is quadratic. Should use a `HashSet`.,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-169,Low,Low/code quality,"`MergedResults::duplicates_fused` is computed as `total_raw - fused_map.len()`. If `total_raw < fused_map.len()` (impossible if fusing only reduces count, which it should — but could happen if insertion_order has more entries than fused_map due to a bug), this would underflow to a huge `usize` value. The subtraction should be checked.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-170,Low,Low/code quality,"`ranked.sort_by(|a, b| b.final_score.partial_cmp(&a.final_score).unwrap_or(Equal).then_with(...))` — `NaN` final scores compare as Equal, placing NaN-scored items at an arbitrary position in the sort order. This can happen if `max_score == min_score` in MinMax normalization (all results get `normalized = 1.0`, then `boosted = 1.0 * (1.0 + ...)`) — actually this always gives a defined result. But if `multi_leg_boost` is `f64::NAN` (not validated), all boosted scores become NaN.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-171,Low,Low/code quality,"`MergePolicy::multi_leg_boost` is not validated. A negative boost would penalize multi-leg results. A `NaN` or `Infinity` boost would corrupt all scores. The `Default` implementation uses `0.1` which is fine, but no validation is performed if users customize the policy.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-172,Low,Low/code quality,`MemoryStore::with_read_conn` takes an `FnOnce + Send + 'static` closure. This means closures cannot borrow from the local scope (must be `'static`). Any data needed inside the closure must be cloned or owned. The code consistently clones queries and configs before passing them in — but this is a leaky abstraction that forces callers into unnecessary clones.,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-173,Low,Low/code quality,"`add_fact` (not shown in full) presumably calls `validate_content` then `embed_text_internal` then `insert_fact_with_fts_q8`. If embedding fails after validation passes, the fact content is not stored. This is correct (atomic behavior). But if the embedding provider is down, `add_fact` always fails — there's no ""store without embedding, embed later"" path for callers that need offline capability.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-174,Low,Low/code quality,`MIGRATION_V7` inserts into `episodes_fts` for all existing episodes. This could be extremely slow for large episode tables and runs in a single transaction — a very large migration could hit SQLite's write-ahead log size limits or cause WAL checkpoint stalls.,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-175,Low,Low/code quality,"`VerificationStatus` (referenced in `types.rs`) has a default of `{""status"":""unverified""}` in the migration SQL. If the `VerificationStatus` Rust enum's JSON representation changes (e.g., due to a serde rename), existing rows will fail to parse.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-176,Low,Low/code quality,"`define_id!` generates `PartialOrd + Ord` for all ID types, including `KernelRunId`, `RegionId`, etc. Ordering kernel runs or regions by string representation of their UUID is meaningless but compilable. Accidental use of `<` on ID types will compile without warning.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-177,Low,Low/code quality,"`AiDENs/crates/aidens-contracts/src/reserved_v11.rs` — reserved V11 types may define placeholder structures that accept any data. If these are accidentally used in production paths (since they're public via `pub use reserved_v11::*`), they could swallow data silently.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-178,Low,Low/code quality,"`pub(crate) use store_support::{as_str_slice, ...}` — these utilities are `pub(crate)` but `store_support` is not a public module. Any leakage through re-exports could expose internal utilities.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-179,Low,Low/code quality,"`projection_lane::projection_import_failure_id` is re-exported as `pub(crate)`. If this function generates IDs from mutable state (e.g., a counter), it's not thread-safe without synchronization.",Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-180,Low,Low/code quality,The `#[allow(deprecated)]` attribute is used at the crate level in `semantic-memory/src/lib.rs`:,Phase 10,Fix or quarantine with evidence and tests,superseded
BUG-181,UnauditedHighRisk,Unaudited high-risk,"`MemoryStore::open` constructs an `OllamaEmbedder` unconditionally. There is no way to open a store in a read-only mode without a running Ollama instance, even if the caller only wants to query existing data.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-182,UnauditedHighRisk,Unaudited high-risk,"`hnsw_ops::save_hnsw_sidecar` wraps the save call in `std::panic::catch_unwind(AssertUnwindSafe(...))`. `AssertUnwindSafe` suppresses the compiler's check that the closure is unwind-safe. If the HNSW index is in an inconsistent state when a panic is caught here, returning `Ok(())` after catching would leave the on-disk sidecar corrupt with no error.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-183,UnauditedHighRisk,Unaudited high-risk,"`recover_hnsw_sidecar_sync` calls `pool.with_read_conn(|conn| rebuild_hnsw_from_sqlite(conn, config))` then saves the sidecar, then uses `pool.with_write_conn` to flush the keymap. The read conn and write conn are different connections. The rebuild reads a snapshot of the database. Between the read snapshot and the write conn operations, new insertions could have modified the database — producing a sidecar that's slightly stale immediately after recovery.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-184,UnauditedHighRisk,Unaudited high-risk,"`hnsw_ops::sync_pending_hnsw_sidecar` calls `save_hnsw_sidecar` while holding the HNSW write lock, then calls `flush_keymap` (also requires write conn), then `clear_pending_index_ops`. If `save_hnsw_sidecar` succeeds but `flush_keymap` fails, the sidecar is updated but the keymap is stale. On next open, the sidecar will be loaded with a stale keymap, producing incorrect search results.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-185,UnauditedHighRisk,Unaudited high-risk,"`episode_item_key` and `episode_node_id` both produce `""episode:{episode_id}""` — identical output. This means HNSW keys and graph node IDs for episodes are in the same namespace. If any code mixes them up (treating an HNSW key as a graph node ID or vice versa), it works accidentally but is fragile.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-186,UnauditedHighRisk,Unaudited high-risk,"`upsert_episode`'s legacy compat path uses `format!(""{}-ep0"", document_id)` as the episode_id for new episodes. If `document_id` contains characters that are invalid in other contexts (e.g., `:`, which is used as a delimiter in HNSW keys), the episode HNSW key `""episode:{document_id}-ep0""` would contain a second `:`, breaking `parse_key()` which uses `split_once(':')` — returning `(""{document_id}-ep0"", """")` instead of the intended split.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-187,UnauditedHighRisk,Unaudited high-risk,"`sync_causal_edges` deletes all existing causal edges and reinserts. This is non-atomic relative to concurrent readers — readers may observe zero edges during the window between DELETE and INSERT. Should be done inside a transaction (it is called inside `with_transaction`, but the transaction covers the entire episode upsert — if the upsert is large, the window during the causal edge sync is long).",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-188,UnauditedHighRisk,Unaudited high-risk,"`resolve_primary_episode_id_legacy` queries `ORDER BY created_at ASC LIMIT 1`. If two episodes have the same `created_at` (same-millisecond inserts), the ordering is non-deterministic and the ""primary"" episode may change between calls.",Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-189,UnauditedHighRisk,Unaudited high-risk,`list_document_episode_ids` queries `ORDER BY created_at ASC`. Same issue — identical-timestamp episodes have non-deterministic ordering.,Phase 09,Fix or quarantine with evidence and tests,superseded
BUG-190,UnauditedHighRisk,Unaudited high-risk,"The `living-memory` `exec/host.rs` and `exec/container.rs` files were not deeply audited. These likely contain subprocess/container management code with significant security surface — file system isolation, capability constraints, PID namespace management. These should be separately audited.",Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-191,UnauditedHighRisk,Unaudited high-risk,`runtime/stabilizer.rs` (in living-memory) was not audited. Its name suggests it manages runtime stability under failures — a high-criticality path.,Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-192,UnauditedHighRisk,Unaudited high-risk,`runtime/novelty.rs` and `runtime/compiler.rs` were not audited. These sound like they deal with code generation or LLM-based novelty detection — both high-risk paths.,Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-193,UnauditedHighRisk,Unaudited high-risk,`cea/predictor.rs` and `cea/graph.rs` (causal effect attribution) were not audited. CEA is a core correctness component — bugs here propagate to episode quality.,Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-194,UnauditedHighRisk,Unaudited high-risk,"`knowledge-runtime/src/runtime.rs` (the main `KnowledgeRuntime` impl) was not fully audited — only the module list was seen. The actual execution paths, scope enforcement, and error handling here are critical.",Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-195,UnauditedHighRisk,Unaudited high-risk,"`forge-pilot` (92 files, second largest component) was not audited. It's the central orchestration layer and likely contains the highest bug density of any component.",Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-196,UnauditedHighRisk,Unaudited high-risk,"`verification-policy`, `verification-control`, `verification-adjudication`, and `verification-calibration` were not audited. These implement the verification pipeline that determines whether claims are accepted or rejected — correctness here is paramount.",Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-197,UnauditedHighRisk,Unaudited high-risk,`attestation-exchange` was not audited. Attestation forgery or replay vulnerabilities in this layer could undermine the entire trust model.,Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-198,UnauditedHighRisk,Unaudited high-risk,`federated-settlement` and `authority-delegation` were not audited. Cross-runtime settlement bugs could allow unauthorized operations.,Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-199,UnauditedHighRisk,Unaudited high-risk,`effect-runtime` was not audited. Side-effect dispatch is the highest-risk operation in any AI agent — bugs here could cause unintended real-world effects.,Phase 04,Fix or quarantine with evidence and tests,superseded
BUG-200,UnauditedHighRisk,Unaudited high-risk,`constraint-compiler` and `recursive-kernel-core` were not audited. These are the formal verification layer — soundness bugs here mean the verification guarantees don't hold.,Phase 04,Fix or quarantine with evidence and tests,superseded
